Name,Price,Brand,Gender,Product Type,Character,Fragrance Family,Size,Ingredients,Concentration,Top Notes,Middle Notes,Base Notes,Product Color,Year of Launch,Category,Makeup Type
Yves Saint Laurent Libre Intense,494,Yves Saint Laurent,Women,Perfume,Extravagant,Fruity,50 ml,"Sugar, Raspberry, Orange Oil, Pink Jasmine, Amber, Plum, Vanilla, White Wood, and Musk.",Eau de Parfum,-,-,-,,,,
Giorgio Armani Emporio Armani Stronger With You Intensely,536,Giorgio Armani,Men,Perfume,Charismatic,Aromatic,100 ml,"Spices, Violet, Lavender, Sweet Toffee, Caramel, Cinnamon, Suede, Vanilla, Amber",Eau de Parfum,"Pink pepper, Juniper, Violet leaf","Lavender, Sage, Toffee, Cinnamon","Tonka bean, Suede, Amber, Vanilla",Gold,2019,,
Roberto Cavalli Paradiso,222,Roberto Cavalli,Women,Perfume,Charismatic,Woody,50 ml,"Citrus, mandarin, bergamot, jasmine, pine, cypress, laurel.",Eau de Parfum,"Citruses , Mandarin , Bergamot",Jasmine,"Cypress, Parasol pine, Pink laurel",,2015,Perfume,
Versace Crystal Noir EDP - 90 ml,518,Versace,Women,Perfume,Modern,Floral Oriental,90 ml,"Ginger, cardamom, pepper, orange buds, peony, gardenia, coconut, sandalwood, musk, amber.",Eau de Parfum,"Ginger, cardamom, pepper","orange buds, peony, gardenia, coconut","sandalwood, musk, amber.",,2004,,
Mancera Roses Vanille - 120 ml,495,Mancera,Unisex,Perfume,Feminine,Floral,120 ml,"Fresh Lemon of Calabria, Turkish delight with Rose, Cedarwood, Intense Vanilla & White Musk",Eau de Parfum,Fresh Lemon of Calabria,"Turkish delight, Rose","Cedarwood, Intense Vanilla & White Musk",,,,
Givenchy L'interdit Intense - 80 ml,563,Givenchy,Women,Perfume,Modern,Floral Oriental,80 ml,"Black Pepper, Sesame, Orange Flowers, Tuberose, Vanilla, Patchouli, Vetiver",Eau de Parfum,Black pepper,"Sesame, orange flowers, tuberose","Vanilla, patchouli, vetiver",,2020,,
Dior Gris Dior EDP,1299,Dior,Unisex,Perfume,Sensual,Floral,125 ml,"Sandalwood, Amber, Cedar, Bergamot, Patchouli, Oakmoss, Rose",Eau de Parfum,,,,,2017,,
Guerlain L'instant Magic EDP,459,Guerlain,Women,Perfume,Charismatic,Floral Oriental,75 ml,,Eau de Parfum,"Lemon, Bergamot, Anise","Carnation, Freesia, Rose, Mimosa, Violet","Cedar, White Musk, Sandalwood, Almond, Vanilla, Orris",,2007,,
Maqam Base of Sight EDP,199,Maqam,Unisex,Perfume,Charismatic,Oriental,120 ml,"Alcohol, Parfum (Fragrance), Aqua (Water), Hydroxycitronellal, Geraniol, Benzyl Salicylate, PEG-40 Hydrogenated Castor Oil, Citronellol, Limonene, Citral, Benzyl Alcohol.",Eau de Parfum,"Geranium, Coconut",Woody Notes,Vanilla,,2020,,
Creed Aventus,1745,Creed,Men,Perfume,Glamorous,Oud,100 ml,"Bergamot, Blackcurrant Leaves, Apple, Pineapple,Pinkberries, Birch, Patchouli, Jasmine,Musk, Oakmoss, Ambergris, Vanilla",Eau de Parfum,"Bergamot, Blackcurrant Leaves, Apple, Pineapple","Pinkberries, Birch, Patchouli, Jasmine","Musk, Oakmoss, Ambergris, Vanilla",,2011,Perfume,
